Index	ClassId	PredictClass	Prob	2ndClass	2ndProb	3rdClass	3rdProb	Correction
00063.jpg	9	9	0.999866	10	0.000133117	5	0.000000503	1
00064.jpg	15	15	0.999996	4	0.00000274	5	0.000000599	1
00065.jpg	9	9	0.999991	10	0.00000915	16	0.000000094	1
00066.jpg	26	26	0.992925	28	0.00399886	18	0.00292794	1
00067.jpg	2	2	0.998338	1	0.000710964	5	0.000524409	1
00068.jpg	5	5	0.670684	2	0.145958	3	0.0938261	1
00069.jpg	28	30	0.703221	28	0.149568	11	0.0896546	0
00070.jpg	11	11	0.999025	30	0.000741847	28	0.000109461	1
00071.jpg	25	25	1	22	2.45E-09	29	1.75E-11	1
00072.jpg	30	30	0.574847	2	0.131603	11	0.117592	1
00073.jpg	34	34	0.617156	30	0.220198	35	0.103864	1
00074.jpg	5	5	0.99307	2	0.00566691	3	0.00123273	1
00075.jpg	12	12	0.999972	40	0.0000145	34	0.00000383	1
00076.jpg	1	1	0.982422	5	0.00997243	2	0.00730279	1
00077.jpg	10	10	0.999402	7	0.000346264	5	0.0000865	1
00078.jpg	25	25	0.999951	22	0.0000221	30	0.0000142	1
00079.jpg	25	25	0.800899	30	0.189081	24	0.00475304	1
00080.jpg	21	31	0.492852	23	0.237428	21	0.214927	0
00081.jpg	33	33	0.99983	39	0.000143765	40	0.0000146	1
00082.jpg	25	25	1	22	1.29E-08	21	8.85E-12	1
00083.jpg	7	8	0.813825	7	0.140333	5	0.0252135	0
00084.jpg	10	10	1	9	2.74E-10	7	1.17E-12	1
00085.jpg	35	35	0.947756	34	0.0501438	9	0.00080565	1
00086.jpg	3	3	0.999573	5	0.000407385	2	0.0000197	1
00087.jpg	7	7	0.354578	5	0.327438	8	0.115291	1
00088.jpg	22	22	1	24	1.57E-09	14	9.58E-10	1
00089.jpg	13	13	1	35	1.27E-09	3	5.73E-10	1
00090.jpg	3	5	0.845971	3	0.149813	2	0.00390569	0
00091.jpg	1	1	0.999971	5	0.0000249	2	0.00000344	1
00092.jpg	2	2	0.998035	1	0.00191426	5	0.0000496	1
00093.jpg	14	14	0.999306	15	0.000570703	1	0.0000686	1
00094.jpg	12	12	1	7	6.52E-13	32	1.34E-13	1
00095.jpg	32	32	0.787241	12	0.0976766	1	0.0297213	1
00096.jpg	3	3	0.984213	5	0.0147252	2	0.00105605	1
00097.jpg	38	38	1	34	1.87E-10	36	1.01E-11	1
00098.jpg	9	9	0.999995	10	0.00000504	3	1.84E-08	1
00099.jpg	33	33	0.999997	39	0.00000197	40	0.000000617	1
00100.jpg	1	1	0.999819	4	0.000148113	2	0.0000163	1
00101.jpg	10	10	1	9	1.35E-08	5	1.07E-08	1
00102.jpg	5	2	0.690107	3	0.0992144	5	0.0841863	0
00103.jpg	11	11	0.997076	27	0.00143227	21	0.00109654	1
00104.jpg	33	33	0.999968	35	0.0000319	39	0.000000516	1
00105.jpg	4	4	0.999999	1	0.000000895	5	5.6E-09	1
00106.jpg	35	35	0.999963	36	0.0000189	9	0.0000154	1
00107.jpg	25	25	0.999938	29	0.0000351	31	0.0000128	1
00108.jpg	33	33	1	40	9.78E-10	39	4.98E-10	1
00109.jpg	4	4	0.721916	1	0.11229	15	0.0716375	1
00110.jpg	1	1	0.96156	2	0.0371015	0	0.00113257	1
00111.jpg	14	14	1	15	2.02E-08	1	1.07E-09	1
00112.jpg	16	16	0.99991	9	0.0000803	0	0.00000537	1
00113.jpg	10	10	0.961335	5	0.0300029	3	0.0064569	1
00114.jpg	30	21	0.793126	23	0.0663066	24	0.0318694	0
00115.jpg	3	3	0.998314	5	0.00155047	2	0.000135302	1
00116.jpg	27	27	0.690011	28	0.138442	11	0.0803801	1
00117.jpg	29	3	0.8189	23	0.106865	22	0.0409971	0
00118.jpg	1	1	0.999882	4	0.000048	0	0.0000249	1
00119.jpg	17	17	0.996664	2	0.00186065	1	0.000309675	1
00120.jpg	13	13	1	35	2.86E-09	9	2.7E-10	1
00121.jpg	7	7	0.999681	8	0.000319338	5	7.26E-08	1
00122.jpg	1	1	0.869341	4	0.0518962	8	0.0358423	1
00123.jpg	8	8	0.533308	7	0.304029	4	0.0599067	1
00124.jpg	2	2	0.998619	1	0.00137902	5	0.00000221	1
00125.jpg	10	10	0.996754	16	0.0013041	9	0.00123068	1
00126.jpg	10	10	0.999759	5	0.0000702	7	0.0000664	1
00127.jpg	30	23	0.297293	26	0.209543	29	0.099705	0
00128.jpg	1	1	1	5	2.12E-08	2	1.64E-08	1
00129.jpg	6	42	0.637173	6	0.134256	32	0.112164	0
00130.jpg	36	36	1	38	0.000000239	17	0.000000031	1
00131.jpg	3	7	0.701036	42	0.0858374	2	0.0431439	0
00132.jpg	14	14	0.999377	17	0.000489368	2	0.0000774	1
00133.jpg	13	13	1	35	1.29E-09	9	1.87E-12	1
00134.jpg	11	11	0.584169	30	0.377562	21	0.0313971	1
00135.jpg	10	10	0.999973	9	0.0000261	5	0.000000491	1
00136.jpg	18	18	0.99955	26	0.000448874	27	0.00000101	1
00137.jpg	40	7	0.59612	40	0.126494	1	0.101018	0
00138.jpg	2	2	0.999896	5	0.000076	1	0.0000266	1
00139.jpg	38	38	0.999954	34	0.0000175	41	0.000009	1
00140.jpg	41	41	0.999916	42	0.000065	32	0.0000166	1
00141.jpg	4	4	0.76001	7	0.2074	8	0.031807	1
00142.jpg	6	6	0.998111	42	0.000890978	41	0.000586973	1
00143.jpg	18	18	0.981007	26	0.0171141	24	0.00162939	1
00144.jpg	17	17	1	14	1.15E-08	4	1.86E-10	1
00145.jpg	25	19	0.713724	21	0.0452998	4	0.0447302	0
00146.jpg	2	2	0.999834	5	0.0000936	1	0.0000722	1
00147.jpg	41	41	0.578101	42	0.190365	32	0.0773834	1
00148.jpg	11	11	0.999734	30	0.000258995	13	0.00000213	1
00149.jpg	21	21	0.717544	31	0.170606	23	0.0896639	1
00150.jpg	7	7	0.830382	8	0.166806	5	0.00218933	1
00151.jpg	24	24	0.755695	11	0.184711	27	0.0513961	1
00152.jpg	11	11	0.999987	30	0.0000128	21	0.000000386	1
00153.jpg	25	25	0.999949	19	0.0000292	22	0.0000154	1
00154.jpg	17	17	1	14	6.98E-10	4	1.09E-14	1
00155.jpg	3	3	0.869221	5	0.111255	2	0.00990665	1
00156.jpg	6	6	0.840947	32	0.145924	42	0.0104211	1
00157.jpg	9	9	0.997866	10	0.00213296	16	0.000000267	1
00158.jpg	7	7	0.999471	4	0.000287764	8	0.000238986	1
00159.jpg	4	4	0.969858	7	0.0198856	8	0.00321544	1
00160.jpg	13	13	1	35	9.31E-09	34	1.56E-11	1
00161.jpg	16	16	0.999984	10	0.0000143	9	0.000000857	1
00162.jpg	4	4	0.991191	1	0.00880845	7	0.000000286	1
00163.jpg	25	25	0.748891	19	0.0430745	4	0.0413318	1
00164.jpg	18	18	0.99363	26	0.00551413	11	0.000517928	1
00165.jpg	9	9	0.999958	10	0.0000382	19	0.00000272	1
00166.jpg	13	13	0.999999	1	0.00000014	12	0.00000011	1
00167.jpg	14	14	0.996438	2	0.00206136	17	0.00147692	1
00168.jpg	29	29	0.998555	23	0.000529052	31	0.000297359	1
00169.jpg	17	17	0.999405	14	0.000292993	4	0.0000975	1
00170.jpg	13	13	1	35	2.01E-11	36	6.09E-12	1
00171.jpg	38	38	0.928602	34	0.069367	35	0.000493923	1
00172.jpg	26	26	0.6364	18	0.362905	24	0.000293545	1
00173.jpg	25	25	0.935515	29	0.0334231	31	0.0192476	1
00174.jpg	33	33	0.999832	40	0.000160521	11	0.00000346	1
00175.jpg	1	1	0.954422	2	0.0414385	5	0.00193561	1
00176.jpg	3	5	0.488039	3	0.416736	7	0.0811204	0
00177.jpg	40	7	0.549289	40	0.391208	1	0.0158063	0
00178.jpg	13	13	1	17	1.74E-08	9	5.83E-09	1
00179.jpg	2	2	0.999112	5	0.000845307	1	0.0000275	1
00180.jpg	8	8	0.996801	4	0.00238689	7	0.00061251	1
00181.jpg	4	4	0.99989	1	0.000108565	7	0.00000117	1
00182.jpg	36	36	1	38	7.06E-08	35	5.08E-09	1
00183.jpg	25	25	1	21	0.000000129	33	7.48E-08	1
00184.jpg	20	23	0.751208	11	0.0999805	28	0.0667858	0
00185.jpg	25	25	0.999997	21	0.00000147	31	0.000000666	1
00186.jpg	18	18	0.469508	20	0.351452	31	0.0928041	1
00187.jpg	1	1	0.538407	4	0.235122	2	0.198097	1
00188.jpg	10	10	0.999873	5	0.0000854	16	0.0000396	1
00189.jpg	8	8	0.999995	7	0.00000489	4	0.000000129	1
00190.jpg	10	23	0.492241	10	0.197937	25	0.118674	0
00191.jpg	29	29	0.996078	24	0.00236925	26	0.000679294	1
00192.jpg	12	12	1	7	4.11E-11	5	2.98E-11	1
00193.jpg	38	38	0.99999	34	0.00000933	22	0.000000143	1
00194.jpg	31	31	0.99979	21	0.000203504	19	0.00000287	1
00195.jpg	2	2	0.999999	1	0.000000836	5	0.000000425	1
00196.jpg	8	8	0.437504	4	0.279075	5	0.174464	1
00197.jpg	38	4	0.692207	8	0.0996352	17	0.0887778	0
00198.jpg	18	10	0.832009	4	0.0772308	31	0.0655652	0
00199.jpg	28	28	0.539463	29	0.293743	9	0.0640257	1
00200.jpg	17	17	1	14	5.08E-08	1	4.63E-12	1
00201.jpg	9	9	0.984443	10	0.015555	16	0.00000221	1
00202.jpg	4	4	0.999939	1	0.0000406	8	0.0000177	1
00203.jpg	1	1	0.998321	4	0.00152457	5	0.0000614	1
00204.jpg	17	17	1	13	4.86E-09	1	4.26E-09	1
00205.jpg	9	9	0.999957	10	0.0000429	16	8.71E-09	1
00206.jpg	2	2	0.653864	3	0.266782	5	0.0526276	1
00207.jpg	31	31	0.893868	26	0.0281579	22	0.0152677	1
00208.jpg	13	13	1	35	6.46E-11	3	6.33E-11	1
00209.jpg	15	15	0.993703	3	0.00491956	32	0.000537605	1
00210.jpg	15	15	0.999704	32	0.00012665	8	0.0000887	1
00211.jpg	38	38	1	34	9.5E-11	36	9.75E-12	1
00212.jpg	25	25	1	30	3.24E-10	22	5.13E-11	1
00213.jpg	5	5	0.988409	2	0.00807718	3	0.00186957	1
00214.jpg	25	25	1	22	1.61E-09	20	7.4E-12	1
00215.jpg	13	13	1	35	2.05E-14	3	1.81E-16	1
00216.jpg	10	10	0.99992	9	0.0000628	19	0.00000414	1
00217.jpg	5	5	0.93265	2	0.0663334	3	0.00097257	1
00218.jpg	4	4	0.99999	1	0.00000962	7	6.03E-08	1
00219.jpg	10	10	0.997436	9	0.00251898	7	0.0000384	1
00220.jpg	2	2	0.999998	5	0.00000218	1	0.0000002	1
00221.jpg	4	4	0.998013	1	0.00194518	5	0.0000326	1
00222.jpg	5	5	0.304441	2	0.285268	3	0.201274	1
00223.jpg	1	1	0.999996	2	0.00000337	0	0.000000885	1
00224.jpg	14	14	0.999993	1	0.00000464	15	0.00000113	1
00225.jpg	12	12	0.993828	40	0.00188182	28	0.00156239	1
00226.jpg	12	12	0.999998	32	0.00000096	41	0.000000688	1
00227.jpg	5	5	0.985232	2	0.0146929	3	0.0000738	1
00228.jpg	8	8	0.999997	7	0.00000281	2	6.81E-12	1
00229.jpg	36	25	0.772833	36	0.219543	38	0.00319125	0
00230.jpg	25	25	1	22	4.29E-09	20	8.52E-10	1
00231.jpg	13	13	1	35	0.000000126	36	2.07E-08	1
00232.jpg	33	33	0.966693	38	0.0192686	25	0.0135295	1
00233.jpg	18	18	0.868167	11	0.0427992	31	0.0229342	1
00234.jpg	33	33	0.999846	40	0.000150529	39	0.00000268	1
00235.jpg	19	19	0.471979	31	0.429488	21	0.0371573	1
00236.jpg	12	12	0.99999	40	0.00000663	7	0.000000529	1
00237.jpg	30	26	0.623362	18	0.0934897	7	0.0640759	0
00238.jpg	4	4	0.991774	5	0.00601237	1	0.00202728	1
00239.jpg	18	18	0.999998	26	0.0000014	11	6.95E-08	1
00240.jpg	12	12	0.996029	41	0.00204723	32	0.000408325	1
00241.jpg	13	13	1	35	1.36E-09	36	2.47E-10	1
00242.jpg	20	20	0.948323	28	0.0302668	23	0.00950175	1
00243.jpg	0	0	0.763362	8	0.196723	1	0.0395051	1
00244.jpg	10	10	0.547301	31	0.130349	25	0.130268	1
00245.jpg	40	40	0.981467	37	0.00878036	33	0.00366997	1
00246.jpg	5	5	0.992252	10	0.00305442	7	0.00145959	1
00247.jpg	8	8	0.929923	4	0.0261144	5	0.0233023	1
00248.jpg	12	12	0.999985	42	0.00000688	41	0.00000517	1
00249.jpg	38	38	0.999999	34	0.000000598	36	2.98E-09	1
00250.jpg	20	20	0.807651	28	0.13048	30	0.0499305	1
00251.jpg	14	14	0.999916	1	0.0000392	15	0.0000163	1
00252.jpg	0	8	0.512975	0	0.309088	1	0.17693	0
00253.jpg	36	36	0.999999	38	0.000000792	40	9.15E-09	1
00254.jpg	34	34	0.999999	38	0.00000118	35	1.39E-08	1
00255.jpg	28	28	0.970473	27	0.0285001	20	0.000553237	1
00256.jpg	35	35	0.995307	3	0.00259027	13	0.00168295	1
00257.jpg	13	13	1	12	5.27E-08	17	2.17E-08	1
00258.jpg	25	25	0.999999	22	0.000000347	29	0.000000234	1
00259.jpg	15	15	0.999027	4	0.000800254	8	0.000103311	1
00260.jpg	35	35	1	33	0.000000196	34	8.19E-09	1
00261.jpg	14	14	0.999992	15	0.00000346	1	0.00000194	1
00262.jpg	18	18	0.999979	26	0.0000193	31	0.00000112	1
00263.jpg	25	25	0.999883	29	0.000066	18	0.0000238	1
00264.jpg	1	1	0.999878	0	0.0000715	5	0.0000254	1
00265.jpg	12	12	0.998895	1	0.000741464	4	0.000179836	1
00266.jpg	5	5	0.781577	15	0.117663	2	0.0889909	1
00267.jpg	25	25	0.999999	22	0.000000288	30	0.000000167	1
00268.jpg	2	2	0.985121	5	0.0147276	1	0.000150312	1
00269.jpg	18	18	0.999984	26	0.0000145	27	0.00000123	1
00270.jpg	18	11	0.402824	18	0.254228	27	0.225399	0
00271.jpg	18	18	0.99978	24	0.000117845	20	0.0000602	1
00272.jpg	34	34	0.99996	38	0.0000401	35	1.26E-08	1
00273.jpg	9	9	1	10	0.000000411	16	1.22E-10	1
00274.jpg	25	25	0.999781	36	0.000121327	29	0.0000472	1
00275.jpg	18	18	0.995051	20	0.00393167	26	0.000650634	1
00276.jpg	34	34	0.999977	38	0.0000225	35	0.000000111	1
00277.jpg	39	39	0.999449	33	0.000550498	40	9.56E-08	1
00278.jpg	31	31	0.970263	21	0.026277	23	0.00103544	1
00279.jpg	1	1	0.999814	2	0.0000889	5	0.0000736	1
00280.jpg	9	9	0.989922	10	0.00667146	16	0.00321916	1
00281.jpg	35	35	0.999998	36	0.00000141	3	0.000000112	1
00282.jpg	31	31	0.539172	26	0.283871	18	0.0685853	1
00283.jpg	26	26	0.883652	28	0.105965	18	0.00908012	1
00284.jpg	1	1	0.999696	0	0.00023977	2	0.0000305	1
00285.jpg	1	0	0.548003	1	0.450765	2	0.000731863	0
00286.jpg	33	33	0.99998	39	0.000015	35	0.00000214	1
00287.jpg	30	2	0.545048	30	0.262349	29	0.0876986	0
00288.jpg	17	17	1	14	2.08E-09	31	1.55E-10	1
00289.jpg	13	13	1	15	8.97E-08	3	5.23E-08	1
00290.jpg	1	1	0.995514	5	0.00412778	2	0.000285018	1
00291.jpg	31	31	0.999899	23	0.0000853	19	0.00000667	1
00292.jpg	13	13	1	35	1.98E-09	9	4.78E-10	1
00293.jpg	35	35	0.999999	36	0.000000798	33	0.000000203	1
00294.jpg	5	5	0.866122	2	0.086673	10	0.0375354	1
00295.jpg	1	1	0.999965	5	0.0000158	2	0.0000101	1
00296.jpg	33	33	1	40	0.000000106	39	1.35E-09	1
00297.jpg	28	28	0.999988	30	0.00000447	19	0.00000259	1
00298.jpg	35	35	1	36	1.26E-10	33	5.99E-11	1
00299.jpg	26	26	0.891767	28	0.069093	27	0.0167748	1
00300.jpg	12	12	0.999994	40	0.00000401	9	0.000000383	1
00301.jpg	5	5	0.743981	3	0.141108	2	0.114826	1
00302.jpg	2	2	0.99997	1	0.0000302	5	7.53E-08	1
00303.jpg	14	14	0.999951	15	0.000026	17	0.0000136	1
00304.jpg	4	1	0.934573	5	0.0236257	3	0.0178082	0
00305.jpg	3	2	0.604993	38	0.0938391	7	0.0768406	0
00306.jpg	32	32	0.974073	12	0.0131886	41	0.00678075	1
00307.jpg	1	1	0.968319	2	0.0239243	5	0.00339367	1
00308.jpg	7	7	0.854083	8	0.13958	5	0.00225487	1
00309.jpg	38	38	0.959692	25	0.0144713	5	0.00631135	1
00310.jpg	19	19	0.995904	31	0.00179089	23	0.00147804	1
00311.jpg	11	11	0.93192	19	0.0389271	28	0.0236265	1
00312.jpg	38	38	0.999994	35	0.00000237	36	0.00000204	1
00313.jpg	38	38	1	34	1.01E-10	36	9.56E-11	1
00314.jpg	1	38	0.383579	5	0.345885	12	0.0928193	0
00315.jpg	42	42	0.99973	41	0.000198961	10	0.0000459	1
00316.jpg	2	2	0.999979	1	0.0000213	5	7.42E-08	1
00317.jpg	40	40	0.99976	0	0.0000766	11	0.0000303	1
00318.jpg	17	17	0.999836	4	0.0000722	14	0.0000495	1
00319.jpg	4	4	0.983999	1	0.011995	7	0.00112076	1
00320.jpg	8	8	0.999904	7	0.0000962	4	5.15E-08	1
00321.jpg	4	4	1	1	0.000000177	5	5.79E-09	1
00322.jpg	5	5	0.984222	2	0.0128643	3	0.00151204	1
00323.jpg	6	6	0.999911	32	0.0000762	42	0.00000697	1
00324.jpg	31	31	0.999998	21	0.00000203	19	0.000000144	1
00325.jpg	35	35	0.999929	37	0.0000706	33	0.000000548	1
00326.jpg	9	9	0.997781	10	0.00212777	16	0.0000781	1
00327.jpg	38	38	1	34	1.32E-09	36	5.24E-11	1
00328.jpg	8	8	0.999811	7	0.000134217	4	0.0000519	1
00329.jpg	2	2	0.999991	5	0.00000837	1	0.000000573	1
00330.jpg	4	4	0.939281	8	0.0270041	1	0.0214188	1
00331.jpg	18	18	0.991063	26	0.00275202	27	0.00229446	1
00332.jpg	3	3	0.852555	2	0.086147	5	0.05688	1
00333.jpg	25	25	0.999997	29	0.00000165	22	0.000000475	1
00334.jpg	10	10	1	5	0.000000026	7	1.78E-08	1
00335.jpg	6	5	0.512537	3	0.22906	12	0.104683	0
00336.jpg	7	8	0.416841	7	0.327821	2	0.200916	0
00337.jpg	34	34	1	38	0.000000312	35	4.16E-08	1
00338.jpg	4	4	0.999767	1	0.00022399	8	0.00000343	1
00339.jpg	22	26	0.266111	20	0.22048	13	0.14385	0
00340.jpg	10	10	0.99993	9	0.0000432	2	0.0000185	1
00341.jpg	29	29	0.99537	31	0.00299957	28	0.000491299	1
00342.jpg	9	9	0.998889	10	0.0011108	16	1.68E-08	1
00343.jpg	2	2	0.99304	4	0.0042521	7	0.000969978	1
00344.jpg	38	38	1	34	5.77E-13	20	5.43E-14	1
00345.jpg	38	38	0.999999	36	0.000000383	5	0.000000156	1
00346.jpg	18	18	0.999452	27	0.000356234	26	0.000159613	1
00347.jpg	7	5	0.369864	7	0.341084	4	0.168896	0
00348.jpg	13	13	0.99999	10	0.00000296	35	0.00000289	1
00349.jpg	28	11	0.179009	28	0.166989	30	0.12447	0
00350.jpg	17	17	1	14	4.87E-12	4	3.98E-14	1
00351.jpg	2	2	0.999995	5	0.00000295	1	0.00000163	1
00352.jpg	16	16	0.998499	7	0.000797452	5	0.000673056	1
00353.jpg	14	14	0.999554	15	0.00043928	22	0.00000337	1
00354.jpg	12	12	0.996023	40	0.000986833	7	0.000801178	1
00355.jpg	40	7	0.80407	40	0.0975756	1	0.0298295	0
00356.jpg	35	35	0.996812	34	0.00238901	38	0.000299426	1
00357.jpg	3	3	0.99886	2	0.000744168	5	0.000394191	1
00358.jpg	38	38	0.999933	40	0.0000512	34	0.0000132	1
00359.jpg	10	10	1	9	0.000000489	16	2.51E-10	1
00360.jpg	9	9	0.999998	10	0.00000219	16	3.06E-08	1
00361.jpg	38	38	0.994988	23	0.00326256	36	0.00112378	1
00362.jpg	13	13	1	35	4.6E-13	15	1.71E-15	1
00363.jpg	39	39	0.99541	37	0.00450406	33	0.0000847	1
00364.jpg	3	3	0.805266	5	0.181589	2	0.0131078	1
00365.jpg	11	11	0.984902	21	0.0034463	40	0.00302484	1
00366.jpg	7	7	0.999378	8	0.000601434	5	0.00000996	1
00367.jpg	38	38	0.999101	23	0.000322565	17	0.00021931	1
00368.jpg	19	19	0.837781	31	0.134623	23	0.0240084	1
00369.jpg	13	13	1	9	5.15E-10	3	4.92E-10	1
00370.jpg	10	10	0.999423	5	0.000229018	3	0.000218991	1
00371.jpg	18	18	0.999421	26	0.000568512	27	0.00000893	1
00372.jpg	3	3	0.787344	2	0.13056	5	0.0452593	1
00373.jpg	5	5	0.705323	3	0.280362	2	0.0113763	1
00374.jpg	26	28	0.95669	20	0.0148769	31	0.0111512	0
00375.jpg	1	1	0.881033	4	0.118914	0	0.0000386	1
00376.jpg	41	41	0.834226	9	0.162902	10	0.00235126	1
00377.jpg	13	13	1	30	6.11E-11	21	5.76E-11	1
00378.jpg	1	1	0.998986	2	0.000965674	4	0.0000483	1
00379.jpg	18	18	0.987099	26	0.00438205	27	0.00368367	1
00380.jpg	19	19	0.975073	21	0.0112459	31	0.00830723	1
00381.jpg	13	13	1	12	3.12E-11	1	1.48E-11	1
00382.jpg	38	38	0.999985	34	0.00000766	36	0.00000734	1
00383.jpg	4	4	0.999977	5	0.0000197	1	0.00000365	1
00384.jpg	35	35	1	36	7.16E-09	34	3.55E-09	1
00385.jpg	25	25	1	22	0.000000301	21	7.51E-08	1
00386.jpg	34	34	1	35	6.87E-10	38	6.61E-11	1
00387.jpg	12	12	0.999406	6	0.00053391	1	0.000021	1
00388.jpg	17	17	1	14	3.68E-12	4	4.65E-14	1
00389.jpg	9	9	0.999873	10	0.000127251	16	2.92E-08	1
00390.jpg	4	4	0.999869	1	0.000130186	5	0.000000741	1
00391.jpg	33	33	1	39	1.04E-09	40	1.55E-12	1
00392.jpg	28	28	0.95243	11	0.0310518	20	0.00623928	1
00393.jpg	2	2	0.994403	5	0.00550457	10	0.0000918	1
00394.jpg	1	1	0.999021	2	0.000522904	6	0.000230699	1
00395.jpg	5	3	0.492482	2	0.334457	5	0.17177	0
00396.jpg	4	2	0.434007	7	0.202883	8	0.182444	0
00397.jpg	38	38	1	34	1.88E-09	23	2.05E-12	1
00398.jpg	4	4	0.999998	5	0.00000197	1	3.42E-08	1
00399.jpg	12	12	0.99684	40	0.00264095	32	0.000298651	1
00400.jpg	38	38	1	34	3.07E-14	40	4.9E-17	1
00401.jpg	36	36	0.999996	38	0.00000382	40	1.71E-08	1
00402.jpg	10	10	0.999897	7	0.0000507	5	0.0000478	1
00403.jpg	0	0	0.992592	8	0.00530801	1	0.00190939	1
00404.jpg	38	38	1	20	2.52E-12	34	2.14E-12	1
00405.jpg	36	36	0.998928	38	0.000930097	34	0.000076	1
00406.jpg	8	8	0.98686	4	0.00688953	7	0.00591793	1
00407.jpg	25	25	0.999965	22	0.0000159	19	0.00000902	1
00408.jpg	5	5	0.642754	2	0.164551	1	0.0701492	1
00409.jpg	2	2	0.999551	5	0.000287135	1	0.000161999	1
00410.jpg	25	25	0.999997	11	0.00000182	30	0.00000104	1
00411.jpg	14	14	0.991687	25	0.00801697	22	0.000134272	1
00412.jpg	2	2	0.992084	5	0.00685939	1	0.000941218	1
00413.jpg	26	26	0.999964	18	0.0000221	24	0.0000127	1
00414.jpg	29	29	0.835086	24	0.0851475	28	0.0652641	1
00415.jpg	10	10	0.999996	9	0.00000357	16	2.56E-09	1
