Index,ClassId,PredictClass,Correction,Prob,,,,,,
00091.jpg,1,1,1,0.999971,,,,,,
00092.jpg,2,2,1,0.998035,,,,,,
00093.jpg,14,14,1,0.999306,,,,,,
00094.jpg,12,12,1,1,,,,,,
00095.jpg,32,32,1,0.787241,,,,,,
00096.jpg,3,3,1,0.984213,,,,,,
00097.jpg,38,38,1,1,,,,,,
00098.jpg,9,9,1,0.999995,,,,,,
00099.jpg,33,33,1,0.999997,,,,,,
00100.jpg,1,1,1,0.999819,,,,,,
00101.jpg,10,10,1,1,,,,,,
00102.jpg,5,2,0,0.690107,,,,,,
00103.jpg,11,11,1,0.997076,,,,,,
00104.jpg,33,33,1,0.999968,,,,,,
00105.jpg,4,4,1,0.999999,,,,,,
00106.jpg,35,35,1,0.999963,,,,,,
00107.jpg,25,25,1,0.999938,,,,,,
00108.jpg,33,33,1,1,,,,,,
00109.jpg,4,4,1,0.721916,,,,,,
00110.jpg,1,1,1,0.96156,,,,,,
00111.jpg,14,14,1,1,,,,,,
00112.jpg,16,16,1,0.99991,,,,,,
00113.jpg,10,10,1,0.961335,,,,,,
00114.jpg,30,21,0,0.793126,,,,,,
00115.jpg,3,3,1,0.998314,,,,,,
00116.jpg,27,27,1,0.690011,,,,,,
00117.jpg,29,3,0,0.8189,,,,,,
00118.jpg,1,1,1,0.999882,,,,,,
00119.jpg,17,17,1,0.996664,,,,,,
00120.jpg,13,13,1,1,,,,,,
00121.jpg,7,7,1,0.999681,,,,,,
00122.jpg,1,1,1,0.869341,,,,,,
00123.jpg,8,8,1,0.533308,,,,,,
00124.jpg,2,2,1,0.998619,,,,,,
00125.jpg,10,10,1,0.996754,,,,,,
00126.jpg,10,10,1,0.999759,,,,,,
00127.jpg,30,23,0,0.297293,,,,,,
00128.jpg,1,1,1,1,,,,,,
00129.jpg,6,42,0,0.637173,,,,,,
00130.jpg,36,36,1,1,,,,,,
00131.jpg,3,7,0,0.701036,,,,,,
00132.jpg,14,14,1,0.999377,,,,,,
00133.jpg,13,13,1,1,,,,,,
00134.jpg,11,11,1,0.584169,,,,,,
00135.jpg,10,10,1,0.999973,,,,,,
00136.jpg,18,18,1,0.99955,,,,,,
00137.jpg,40,7,0,0.59612,,,,,,
00138.jpg,2,2,1,0.999896,,,,,,
00139.jpg,38,38,1,0.999954,,,,,,
00140.jpg,41,41,1,0.999916,,,,,,
00141.jpg,4,4,1,0.76001,,,,,,
00142.jpg,6,6,1,0.998111,,,,,,
00143.jpg,18,18,1,0.981007,,,,,,
00144.jpg,17,17,1,1,,,,,,
00145.jpg,25,19,0,0.713724,,,,,,
00146.jpg,2,2,1,0.999834,,,,,,
00147.jpg,41,41,1,0.578101,,,,,,
00148.jpg,11,11,1,0.999734,,,,,,
00149.jpg,21,21,1,0.717544,,,,,,
00150.jpg,7,7,1,0.830382,,,,,,
00151.jpg,24,24,1,0.755695,,,,,,
00152.jpg,11,11,1,0.999987,,,,,,
00153.jpg,25,25,1,0.999949,,,,,,
00154.jpg,17,17,1,1,,,,,,
00155.jpg,3,3,1,0.869221,,,,,,
00156.jpg,6,6,1,0.840947,,,,,,
00157.jpg,9,9,1,0.997866,,,,,,
00158.jpg,7,7,1,0.999471,,,,,,
00159.jpg,4,4,1,0.969858,,,,,,
00160.jpg,13,13,1,1,,,,,,
00161.jpg,16,16,1,0.999984,,,,,,
00162.jpg,4,4,1,0.991191,,,,,,
00163.jpg,25,25,1,0.748891,,,,,,
00164.jpg,18,18,1,0.99363,,,,,,
00165.jpg,9,9,1,0.999958,,,,,,
00166.jpg,13,13,1,0.999999,,,,,,
00167.jpg,14,14,1,0.996438,,,,,,
00168.jpg,29,29,1,0.998555,,,,,,
00169.jpg,17,17,1,0.999405,,,,,,
00170.jpg,13,13,1,1,,,,,,
00171.jpg,38,38,1,0.928602,,,,,,
00172.jpg,26,26,1,0.6364,,,,,,
00173.jpg,25,25,1,0.935515,,,,,,
00174.jpg,33,33,1,0.999832,,,,,,
00175.jpg,1,1,1,0.954422,,,,,,
00176.jpg,3,5,0,0.488039,,,,,,
00177.jpg,40,7,0,0.549289,,,,,,
00178.jpg,13,13,1,1,,,,,,
00179.jpg,2,2,1,0.999112,,,,,,
00180.jpg,8,8,1,0.996801,,,,,,
00181.jpg,4,4,1,0.99989,,,,,,
00182.jpg,36,36,1,1,,,,,,
00183.jpg,25,25,1,1,,,,,,
00184.jpg,20,23,0,0.751208,,,,,,
00185.jpg,25,25,1,0.999997,,,,,,
00186.jpg,18,18,1,0.469508,,,,,,
00187.jpg,1,1,1,0.538407,,,,,,
00188.jpg,10,10,1,0.999873,,,,,,
00189.jpg,8,8,1,0.999995,,,,,,
00190.jpg,10,23,0,0.492241,,,,,,
00191.jpg,29,29,1,0.996078,,,,,,
00192.jpg,12,12,1,1,,,,,,
00193.jpg,38,38,1,0.99999,,,,,,
00194.jpg,31,31,1,0.99979,,,,,,
00195.jpg,2,2,1,0.999999,,,,,,
00196.jpg,8,8,1,0.437504,,,,,,
00197.jpg,38,4,0,0.692207,,,,,,
00198.jpg,18,10,0,0.832009,,,,,,
00199.jpg,28,28,1,0.539463,,,,,,
00200.jpg,17,17,1,1,,,,,,
00201.jpg,9,9,1,0.984443,,,,,,
00202.jpg,4,4,1,0.999939,,,,,,
00203.jpg,1,1,1,0.998321,,,,,,
00204.jpg,17,17,1,1,,,,,,
00205.jpg,9,9,1,0.999957,,,,,,
00206.jpg,2,2,1,0.653864,,,,,,
00207.jpg,31,31,1,0.893868,,,,,,
00208.jpg,13,13,1,1,,,,,,
00209.jpg,15,15,1,0.993703,,,,,,
00210.jpg,15,15,1,0.999704,,,,,,
00211.jpg,38,38,1,1,,,,,,
00212.jpg,25,25,1,1,,,,,,
00213.jpg,5,5,1,0.988409,,,,,,
00214.jpg,25,25,1,1,,,,,,
00215.jpg,13,13,1,1,,,,,,
00216.jpg,10,10,1,0.99992,,,,,,
00217.jpg,5,5,1,0.93265,,,,,,
00218.jpg,4,4,1,0.99999,,,,,,
00219.jpg,10,10,1,0.997436,,,,,,
00220.jpg,2,2,1,0.999998,,,,,,
00221.jpg,4,4,1,0.998013,,,,,,
00222.jpg,5,5,1,0.304441,,,,,,
00223.jpg,1,1,1,0.999996,,,,,,
00224.jpg,14,14,1,0.999993,,,,,,
00225.jpg,12,12,1,0.993828,,,,,,
00226.jpg,12,12,1,0.999998,,,,,,
00227.jpg,5,5,1,0.985232,,,,,,
00228.jpg,8,8,1,0.999997,,,,,,
00229.jpg,36,25,0,0.772833,,,,,,
00230.jpg,25,25,1,1,,,,,,
00231.jpg,13,13,1,1,,,,,,
00232.jpg,33,33,1,0.966693,,,,,,
00233.jpg,18,18,1,0.868167,,,,,,
00234.jpg,33,33,1,0.999846,,,,,,
00235.jpg,19,19,1,0.471979,,,,,,
00236.jpg,12,12,1,0.99999,,,,,,
00237.jpg,30,26,0,0.623362,,,,,,
00238.jpg,4,4,1,0.991774,,,,,,
00239.jpg,18,18,1,0.999998,,,,,,
00240.jpg,12,12,1,0.996029,,,,,,
00241.jpg,13,13,1,1,,,,,,
00242.jpg,20,20,1,0.948323,,,,,,
00243.jpg,0,0,1,0.763362,,,,,,
00244.jpg,10,10,1,0.547301,,,,,,
00245.jpg,40,40,1,0.981467,,,,,,
00246.jpg,5,5,1,0.992252,,,,,,
00247.jpg,8,8,1,0.929923,,,,,,
00248.jpg,12,12,1,0.999985,,,,,,
00249.jpg,38,38,1,0.999999,,,,,,
00250.jpg,20,20,1,0.807651,,,,,,
00251.jpg,14,14,1,0.999916,,,,,,
00252.jpg,0,8,0,0.512975,,,,,,
00253.jpg,36,36,1,0.999999,,,,,,
00254.jpg,34,34,1,0.999999,,,,,,
00255.jpg,28,28,1,0.970473,,,,,,
00256.jpg,35,35,1,0.995307,,,,,,
00257.jpg,13,13,1,1,,,,,,
00258.jpg,25,25,1,0.999999,,,,,,
00259.jpg,15,15,1,0.999027,,,,,,
00260.jpg,35,35,1,1,,,,,,
00261.jpg,14,14,1,0.999992,,,,,,
00262.jpg,18,18,1,0.999979,,,,,,
00263.jpg,25,25,1,0.999883,,,,,,
00264.jpg,1,1,1,0.999878,,,,,,
00265.jpg,12,12,1,0.998895,,,,,,
00266.jpg,5,5,1,0.781577,,,,,,
00267.jpg,25,25,1,0.999999,,,,,,
00268.jpg,2,2,1,0.985121,,,,,,
00269.jpg,18,18,1,0.999984,,,,,,
00270.jpg,18,11,0,0.402824,,,,,,
00271.jpg,18,18,1,0.99978,,,,,,
00272.jpg,34,34,1,0.99996,,,,,,
00273.jpg,9,9,1,1,,,,,,
00274.jpg,25,25,1,0.999781,,,,,,
00275.jpg,18,18,1,0.995051,,,,,,
00276.jpg,34,34,1,0.999977,,,,,,
00277.jpg,39,39,1,0.999449,,,,,,
00278.jpg,31,31,1,0.970263,,,,,,
00279.jpg,1,1,1,0.999814,,,,,,
00280.jpg,9,9,1,0.989922,,,,,,
00281.jpg,35,35,1,0.999998,,,,,,
00282.jpg,31,31,1,0.539172,,,,,,
00283.jpg,26,26,1,0.883652,,,,,,
00284.jpg,1,1,1,0.999696,,,,,,
00285.jpg,1,0,0,0.548003,,,,,,
00286.jpg,33,33,1,0.99998,,,,,,
00287.jpg,30,2,0,0.545048,,,,,,
00288.jpg,17,17,1,1,,,,,,
00289.jpg,13,13,1,1,,,,,,
00290.jpg,1,1,1,0.995514,,,,,,
00291.jpg,31,31,1,0.999899,,,,,,
00292.jpg,13,13,1,1,,,,,,
00293.jpg,35,35,1,0.999999,,,,,,
00294.jpg,5,5,1,0.866122,,,,,,
00295.jpg,1,1,1,0.999965,,,,,,
00296.jpg,33,33,1,1,,,,,,
00297.jpg,28,28,1,0.999988,,,,,,
00298.jpg,35,35,1,1,,,,,,
00299.jpg,26,26,1,0.891767,,,,,,
00300.jpg,12,12,1,0.999994,,,,,,
00301.jpg,5,5,1,0.743981,,,,,,
00302.jpg,2,2,1,0.99997,,,,,,
00303.jpg,14,14,1,0.999951,,,,,,
00304.jpg,4,1,0,0.934573,,,,,,
00305.jpg,3,2,0,0.604993,,,,,,
00306.jpg,32,32,1,0.974073,,,,,,
00307.jpg,1,1,1,0.968319,,,,,,
00308.jpg,7,7,1,0.854083,,,,,,
00309.jpg,38,38,1,0.959692,,,,,,
00310.jpg,19,19,1,0.995904,,,,,,
00311.jpg,11,11,1,0.93192,,,,,,
00312.jpg,38,38,1,0.999994,,,,,,
00313.jpg,38,38,1,1,,,,,,
00314.jpg,1,38,0,0.383579,,,,,,
00315.jpg,42,42,1,0.99973,,,,,,
00316.jpg,2,2,1,0.999979,,,,,,
00317.jpg,40,40,1,0.99976,,,,,,
00318.jpg,17,17,1,0.999836,,,,,,
00319.jpg,4,4,1,0.983999,,,,,,
00320.jpg,8,8,1,0.999904,,,,,,
00321.jpg,4,4,1,1,,,,,,
00322.jpg,5,5,1,0.984222,,,,,,
00323.jpg,6,6,1,0.999911,,,,,,
00324.jpg,31,31,1,0.999998,,,,,,
00325.jpg,35,35,1,0.999929,,,,,,
00326.jpg,9,9,1,0.997781,,,,,,
00327.jpg,38,38,1,1,,,,,,
00328.jpg,8,8,1,0.999811,,,,,,
00329.jpg,2,2,1,0.999991,,,,,,
00330.jpg,4,4,1,0.939281,,,,,,
00331.jpg,18,18,1,0.991063,,,,,,
00332.jpg,3,3,1,0.852555,,,,,,
00333.jpg,25,25,1,0.999997,,,,,,
00334.jpg,10,10,1,1,,,,,,
00335.jpg,6,5,0,0.512537,,,,,,
00336.jpg,7,8,0,0.416841,,,,,,
00337.jpg,34,34,1,1,,,,,,
00338.jpg,4,4,1,0.999767,,,,,,
00339.jpg,22,26,0,0.266111,,,,,,
00340.jpg,10,10,1,0.99993,,,,,,
00341.jpg,29,29,1,0.99537,,,,,,
00342.jpg,9,9,1,0.998889,,,,,,
00343.jpg,2,2,1,0.99304,,,,,,
00344.jpg,38,38,1,1,,,,,,
00345.jpg,38,38,1,0.999999,,,,,,
00346.jpg,18,18,1,0.999452,,,,,,
00347.jpg,7,5,0,0.369864,,,,,,
00348.jpg,13,13,1,0.99999,,,,,,
00349.jpg,28,11,0,0.179009,,,,,,
00350.jpg,17,17,1,1,,,,,,
00351.jpg,2,2,1,0.999995,,,,,,
00352.jpg,16,16,1,0.998499,,,,,,
00353.jpg,14,14,1,0.999554,,,,,,
00354.jpg,12,12,1,0.996023,,,,,,
00355.jpg,40,7,0,0.80407,,,,,,
00356.jpg,35,35,1,0.996812,,,,,,
00357.jpg,3,3,1,0.99886,,,,,,
00358.jpg,38,38,1,0.999933,,,,,,
00359.jpg,10,10,1,1,,,,,,
00360.jpg,9,9,1,0.999998,,,,,,
00361.jpg,38,38,1,0.994988,,,,,,
00362.jpg,13,13,1,1,,,,,,
00363.jpg,39,39,1,0.99541,,,,,,
00364.jpg,3,3,1,0.805266,,,,,,
00365.jpg,11,11,1,0.984902,,,,,,
00366.jpg,7,7,1,0.999378,,,,,,
00367.jpg,38,38,1,0.999101,,,,,,
00368.jpg,19,19,1,0.837781,,,,,,
00369.jpg,13,13,1,1,,,,,,
00370.jpg,10,10,1,0.999423,,,,,,
00371.jpg,18,18,1,0.999421,,,,,,
00372.jpg,3,3,1,0.787344,,,,,,
00373.jpg,5,5,1,0.705323,,,,,,
00374.jpg,26,28,0,0.95669,,,,,,
00375.jpg,1,1,1,0.881033,,,,,,
00376.jpg,41,41,1,0.834226,,,,,,
00377.jpg,13,13,1,1,,,,,,
00378.jpg,1,1,1,0.998986,,,,,,
00379.jpg,18,18,1,0.987099,,,,,,
00380.jpg,19,19,1,0.975073,,,,,,
00381.jpg,13,13,1,1,,,,,,
00382.jpg,38,38,1,0.999985,,,,,,
00383.jpg,4,4,1,0.999977,,,,,,
00384.jpg,35,35,1,1,,,,,,
00385.jpg,25,25,1,1,,,,,,
00386.jpg,34,34,1,1,,,,,,
00387.jpg,12,12,1,0.999406,,,,,,
00388.jpg,17,17,1,1,,,,,,
00389.jpg,9,9,1,0.999873,,,,,,
00390.jpg,4,4,1,0.999869,,,,,,
00391.jpg,33,33,1,1,,,,,,
00392.jpg,28,28,1,0.95243,,,,,,
00393.jpg,2,2,1,0.994403,,,,,,
00394.jpg,1,1,1,0.999021,,,,,,
00395.jpg,5,3,0,0.492482,,,,,,
00396.jpg,4,2,0,0.434007,,,,,,
00397.jpg,38,38,1,1,,,,,,
00398.jpg,4,4,1,0.999998,,,,,,
00399.jpg,12,12,1,0.99684,,,,,,
00400.jpg,38,38,1,1,,,,,,
00401.jpg,36,36,1,0.999996,,,,,,
00402.jpg,10,10,1,0.999897,,,,,,
00403.jpg,0,0,1,0.992592,,,,,,
00404.jpg,38,38,1,1,,,,,,
00405.jpg,36,36,1,0.998928,,,,,,
00406.jpg,8,8,1,0.98686,,,,,,
00407.jpg,25,25,1,0.999965,,,,,,
00408.jpg,5,5,1,0.642754,,,,,,
00409.jpg,2,2,1,0.999551,,,,,,
00410.jpg,25,25,1,0.999997,,,,,,
00411.jpg,14,14,1,0.991687,,,,,,
00412.jpg,2,2,1,0.992084,,,,,,
00413.jpg,26,26,1,0.999964,,,,,,
00414.jpg,29,29,1,0.835086,,,,,,
00415.jpg,10,10,1,0.999996,,,,,,
00416.jpg,10,10,1,0.999978,,,,,,
00417.jpg,14,14,1,1,,,,,,
00418.jpg,9,9,1,0.997913,,,,,,
00419.jpg,2,2,1,0.999825,,,,,,
00420.jpg,3,3,1,0.999895,,,,,,
00421.jpg,4,12,0,0.851391,,,,,,
00422.jpg,19,19,1,0.99554,,,,,,
00423.jpg,9,9,1,0.999998,,,,,,
00424.jpg,10,10,1,0.999375,,,,,,
00425.jpg,13,13,1,1,,,,,,
00426.jpg,13,13,1,1,,,,,,
00427.jpg,20,7,0,0.642999,,,,,,
00428.jpg,38,38,1,1,,,,,,
00429.jpg,34,34,1,0.999979,,,,,,
00430.jpg,11,11,1,0.996751,,,,,,
00431.jpg,13,13,1,1,,,,,,
00432.jpg,34,34,1,0.999915,,,,,,
00433.jpg,34,34,1,0.99982,,,,,,
00434.jpg,12,12,1,0.999975,,,,,,
00435.jpg,6,6,1,0.999864,,,,,,
00436.jpg,10,10,1,0.999577,,,,,,
00437.jpg,10,10,1,0.999979,,,,,,
00438.jpg,8,8,1,0.999997,,,,,,
00439.jpg,3,3,1,0.897847,,,,,,
00440.jpg,22,22,1,0.999998,,,,,,
00441.jpg,17,17,1,1,,,,,,
00442.jpg,7,7,1,0.988535,,,,,,
00443.jpg,30,30,1,0.972925,,,,,,
00444.jpg,25,25,1,1,,,,,,
00445.jpg,1,1,1,0.998458,,,,,,
00446.jpg,31,31,1,0.971845,,,,,,
00447.jpg,38,38,1,0.999989,,,,,,
00448.jpg,38,38,1,0.999999,,,,,,
00449.jpg,8,8,1,0.982348,,,,,,
00450.jpg,9,9,1,0.998307,,,,,,
00451.jpg,10,10,1,0.87848,,,,,,
00452.jpg,2,2,1,0.999853,,,,,,
00453.jpg,40,40,1,0.97095,,,,,,
00454.jpg,1,1,1,0.995956,,,,,,
00455.jpg,38,34,0,0.748471,,,,,,
00456.jpg,14,14,1,1,,,,,,
00457.jpg,8,8,1,0.998184,,,,,,
00458.jpg,39,39,1,0.999963,,,,,,
00459.jpg,6,15,0,0.563135,,,,,,
00460.jpg,35,35,1,1,,,,,,
00461.jpg,25,25,1,0.700196,,,,,,
00462.jpg,25,25,1,0.997094,,,,,,
00463.jpg,17,17,1,0.999739,,,,,,
00464.jpg,2,2,1,0.999408,,,,,,
00465.jpg,38,38,1,1,,,,,,
00466.jpg,7,7,1,0.999685,,,,,,
00467.jpg,13,13,1,1,,,,,,
00468.jpg,14,14,1,0.999988,,,,,,
00469.jpg,7,7,1,0.99688,,,,,,
00470.jpg,8,8,1,0.777757,,,,,,
00471.jpg,35,35,1,0.999981,,,,,,
00472.jpg,3,3,1,0.999941,,,,,,
00473.jpg,1,1,1,0.999988,,,,,,
00474.jpg,35,35,1,1,,,,,,
00475.jpg,12,12,1,0.999933,,,,,,
00476.jpg,35,35,1,0.999994,,,,,,
00477.jpg,36,25,0,0.920837,,,,,,
00478.jpg,24,24,1,0.996252,,,,,,
00479.jpg,13,13,1,1,,,,,,
00480.jpg,33,33,1,0.999999,,,,,,
00481.jpg,2,2,1,0.999994,,,,,,
00482.jpg,35,35,1,1,,,,,,
00483.jpg,6,6,1,0.99975,,,,,,
00484.jpg,2,2,1,0.999766,,,,,,
00485.jpg,10,10,1,1,,,,,,
00486.jpg,12,12,1,0.999998,,,,,,
00487.jpg,31,31,1,0.999875,,,,,,
00488.jpg,9,9,1,0.999952,,,,,,
00489.jpg,14,14,1,0.999996,,,,,,
00490.jpg,17,17,1,0.992693,,,,,,
00491.jpg,26,26,1,0.554693,,,,,,
00492.jpg,4,12,0,0.768243,,,,,,
00493.jpg,3,3,1,0.977393,,,,,,
00494.jpg,10,10,1,0.997413,,,,,,
00495.jpg,5,5,1,0.908881,,,,,,
00496.jpg,30,21,0,0.560853,,,,,,
00497.jpg,9,9,1,0.998867,,,,,,
00498.jpg,31,31,1,0.999997,,,,,,
00499.jpg,40,7,0,0.385535,,,,,,
00500.jpg,22,22,1,1,,,,,,
00501.jpg,30,30,1,0.745195,,,,,,
00502.jpg,9,10,0,0.925733,,,,,,
00503.jpg,7,7,1,0.987357,,,,,,
00504.jpg,23,23,1,0.83769,,,,,,
00505.jpg,4,4,1,0.967694,,,,,,
00506.jpg,32,32,1,0.98919,,,,,,
00507.jpg,42,42,1,0.999594,,,,,,
00508.jpg,1,1,1,0.999542,,,,,,
00509.jpg,3,3,1,0.603799,,,,,,
00510.jpg,8,8,1,0.936677,,,,,,
00511.jpg,2,2,1,0.995402,,,,,,
00512.jpg,25,25,1,0.79997,,,,,,
00513.jpg,22,22,1,0.997932,,,,,,
00514.jpg,38,38,1,1,,,,,,
00515.jpg,33,33,1,0.999997,,,,,,
00516.jpg,3,3,1,0.996083,,,,,,
00517.jpg,1,1,1,0.719586,,,,,,
00518.jpg,8,8,1,0.999948,,,,,,
00519.jpg,4,4,1,1,,,,,,
00520.jpg,18,26,0,0.489871,,,,,,
00521.jpg,26,28,0,0.464894,,,,,,
00522.jpg,31,31,1,0.999997,,,,,,
00523.jpg,14,14,1,0.999996,,,,,,
00524.jpg,11,11,1,0.999999,,,,,,
00525.jpg,13,13,1,0.999998,,,,,,
00526.jpg,3,3,1,0.803896,,,,,,
00527.jpg,5,5,1,0.784009,,,,,,
00528.jpg,18,18,1,0.978655,,,,,,
00529.jpg,4,4,1,0.994852,,,,,,
00530.jpg,13,13,1,1,,,,,,
00531.jpg,15,15,1,0.82808,,,,,,
00532.jpg,23,23,1,0.955282,,,,,,
00533.jpg,1,1,1,1,,,,,,
00534.jpg,12,12,1,0.999998,,,,,,
00535.jpg,31,31,1,0.999968,,,,,,
00536.jpg,38,38,1,1,,,,,,
00537.jpg,6,15,0,0.529933,,,,,,
00538.jpg,10,10,1,0.807808,,,,,,
00539.jpg,35,35,1,0.999998,,,,,,
00540.jpg,8,5,0,0.508794,,,,,,
00541.jpg,6,6,1,0.983095,,,,,,
00542.jpg,5,5,1,0.939948,,,,,,
00543.jpg,12,12,1,0.999997,,,,,,
00544.jpg,4,4,1,0.999916,,,,,,
00545.jpg,1,1,1,0.997867,,,,,,
00546.jpg,1,1,1,0.999967,,,,,,
00547.jpg,1,1,1,0.999965,,,,,,
00548.jpg,12,12,1,0.999995,,,,,,
00549.jpg,12,12,1,0.999997,,,,,,
00550.jpg,4,1,0,0.83544,,,,,,
00551.jpg,5,5,1,0.920915,,,,,,
00552.jpg,9,9,1,0.943312,,,,,,
00553.jpg,13,13,1,1,,,,,,
00554.jpg,38,38,1,1,,,,,,
00555.jpg,4,4,1,0.999999,,,,,,
00556.jpg,13,13,1,1,,,,,,
00557.jpg,8,8,1,0.998053,,,,,,
00558.jpg,13,13,1,1,,,,,,
00559.jpg,24,24,1,0.98199,,,,,,
00560.jpg,17,17,1,0.99662,,,,,,
00561.jpg,10,10,1,0.999791,,,,,,
00562.jpg,10,10,1,0.999929,,,,,,
00563.jpg,18,18,1,0.999963,,,,,,
00564.jpg,12,12,1,0.999982,,,,,,
00565.jpg,23,23,1,0.763712,,,,,,
00566.jpg,10,10,1,0.999845,,,,,,
00567.jpg,10,10,1,0.358772,,,,,,
00568.jpg,1,2,0,0.572312,,,,,,
00569.jpg,23,23,1,0.993203,,,,,,
00570.jpg,3,3,1,0.951298,,,,,,
00571.jpg,8,8,1,0.935976,,,,,,
00572.jpg,41,41,1,0.98688,,,,,,
00573.jpg,6,6,1,0.997895,,,,,,
00574.jpg,13,13,1,1,,,,,,
00575.jpg,33,33,1,1,,,,,,
00576.jpg,3,5,0,0.993061,,,,,,
00577.jpg,2,2,1,0.999999,,,,,,
00578.jpg,13,13,1,0.996993,,,,,,
00579.jpg,0,0,1,0.381394,,,,,,
00580.jpg,17,17,1,0.99997,,,,,,
00581.jpg,10,10,1,0.998756,,,,,,
00582.jpg,7,21,0,0.331352,,,,,,
00583.jpg,1,1,1,0.998866,,,,,,
00584.jpg,35,35,1,1,,,,,,
00585.jpg,10,10,1,1,,,,,,
00586.jpg,2,2,1,0.999503,,,,,,
00587.jpg,30,30,1,0.97003,,,,,,
00588.jpg,5,5,1,0.997318,,,,,,
00589.jpg,5,5,1,0.993815,,,,,,
00590.jpg,35,35,1,1,,,,,,
00591.jpg,13,13,1,0.999999,,,,,,
00592.jpg,16,16,1,1,,,,,,
